name, age, email, address,gender, occupation, subscribed
ravi,kakak,sssjsj,sjsjsj,Male,Student,YES
Ashirwad,40,ashirwad@gmail.com,up,Male,Student,YES
ravi,23,ravikuar@gmail.com,jafra,Male,Student,YES
ravi,24,ravikumar@gmail.com,jafra,Male,Student,YES
ravi,24,ravikumar@gmail.com,jafra,Male,Teacher,YES
kundan,26,kundan@gmail.com,Bihar,Male,Student,YES
gaurav,20,gaurav@gmail.com,pgahwara,Male,Student,YES
ganesh,24,ganesh@gmail.com,APYeyers,Male,Student,YES

shivam,29,shivam@gmail.com,ludhhwdkjkj,Male,Student,YES
ravio,23,ravi@gmail.com,jafra,Male,Student,YES
loki,20,loki@gmail.com,jafra,Male,Student,NO
Ravi,24,ravi@gmail.com,jafra,Male,Student,YES
Sendrela ,23,sendrela@gmail.com,Kharsia,Female,Student,YES
